Camera Anchor,PositionX,PositionY,PositionZ,RotationY,Description
Key-1,-1.9,1.4,-1.3,0,The scene in front of you shows the interior of a whimsical room with wooden walls; shelves filled with books; and various colorful objects; including a small green ghost-like figure floating near the window. Bright sunlight streams in through the oddly shaped windows; casting distinct shadows on the floor.
Key-2,-1.9,1.4,-1.3,45,The scene in front of you shows a cozy; whimsical room with a wooden interior featuring an old-fashioned computer on a desk; a treasure chest; and various decorations; including a pumpkin face. Sunlight streams through the uniquely shaped windows; casting square shadows on the floor.
Key-3,-1.9,1.4,-1.3,90,The scene in front of you shows a whimsical room with an old-fashioned computer on a desk; a treasure chest beside it; and a poster displaying instructions. The room features a brick furnace; various decorations; and shelves with items; all illuminated by sunlight streaming through the oddly shaped windows.
Key-4,-1.9,1.4,-1.3,135,The scene in front of you shows a whimsical room with a desk holding an instructional poster; under a uniquely shaped window. In the background; shelves with various items and sunlight streaming through the window create a cozy; well-lit atmosphere.
Key-5,-1.9,1.4,-1.3,180,The scene in front of you shows a narrow view of a whimsical room; focusing on a desk with an instructional poster and a window letting in sunlight. To the right; there are empty shelves; and beyond the window; a bright blue sky with yellow ground is visible.
Key-6,-1.9,1.4,-1.3,225,The scene in front of you shows a close-up of a wooden shelf with an old-fashioned radio on it. The shelf is located in a whimsical room with muted lighting adding to the charming atmosphere.
Key-7,-1.9,1.4,-1.3,270,The scene in front of you shows a close-up of a shelf holding an old-fashioned radio; with a whimsical room visible in the background. The room features a large; quirky furnace along with shelves filled with various items; illuminated by warm light.
Key-8,-1.9,1.4,-1.3,315,The scene in front of you shows the interior of a whimsical room featuring shelves filled with books and colorful items; a ghost-like figure floating nearby; and a quirky furnace with a glowing fire. In the background; additional shelves hold more items; all illuminated by warm; inviting light streaming through uniquely shaped windows.
Cauldron-1,-6.7,1.2,0.5,0,The scene in front of you depicts a close-up of a control panel with a rotary dial and an open hatch emitting a warm; yellow light; with a window in the background showing a partly cloudy sky.
Cauldron-2,-6.7,1.2,0.5,45,"The scene in front of you shows a close-up of a control panel with a ""BREW!"" button; an open hatch glowing with yellow light; and a room in the background with colorful bottles on shelves and a fireplace."
Cauldron-3,-6.7,1.2,0.5,90,The scene in front of you reveals a cozy; colorful room with wooden floors and shelves containing colorful bottles. The background features a fireplace; various decorations; and an artistically decorated table with art on the walls.
Cauldron-4,-6.7,1.2,0.5,135,The scene in front of you shows a whimsical; colorful room with wooden floors; a table cluttered with various items; and a window revealing hot air balloons outside. The room is decorated with framed pictures; hanging lanterns; and a cozy fireplace in the background.
Cauldron-5,-6.7,1.2,0.5,180,The scene in front of you features a table with various colorful objects; including pumpkins and fruit; standing beneath a window through which hot air balloons can be seen floating in the sky. The room is adorned with wooden walls and flooring; giving it a cozy atmosphere.
Cauldron-6,-6.7,1.2,0.5,225,The scene in front of you showcases a shelf filled with colorful books and a small jack-o'-lantern. Next to it is a window with a view of hot air balloons against a blue sky; adding to the cozy atmosphere of the room.
Cauldron-7,-6.7,1.2,0.5,270,The scene in front of you displays a shelf with books; a small jack-o'-lantern; and a glowing green potion bottle. Above the shelf; there is a poster featuring a diagram with instructions related to the potion.
Cauldron-8,-6.7,1.2,0.5,315,The scene in front of you shows a close-up of a control panel with a dial; alongside an open glowing hatch. There is also a poster with diagram instructions and a potion bottle with a green liquid on a shelf nearby.
Fireplace-1,1.8,0.8,0.9,0,The scene in front of you shows an open treasure chest containing a card with an image of a steak and some text or numbers. In the background; there's a window with a view of a sunset sky and a portion of a ladder.
Fireplace-2,1.8,0.8,0.9,45,The scene in front of you shows an open treasure chest with a card depicting a steak and text or numbers inside. To the right; there's a smiling; animated flame character with bubbles above its head.
Fireplace-3,1.8,0.8,0.9,90,The scene in front of you shows a smiling; animated flame character with bubbles above its head; situated in what appears to be an oven or fireplace structure with jagged edges. In the background; there is a window with a padlock and a shelf with kitchen utensils.
Fireplace-4,1.8,0.8,0.9,135,The scene in front of you shows the interior of a room with wooden paneled walls and floor. On the left; the edge of an oven or fireplace with a smiling flame character is visible; in the background; a window with a padlock and a shelf holding bottles and books can also be seen.
Fireplace-5,1.8,0.8,0.9,180,The scene in front of you shows a wooden-paneled room with shelves holding bottles and books; and two windows that provide an outdoor view of a sky with floating balloons or airships. To the right; there is an easel or table with papers on it.
Fireplace-6,1.8,0.8,0.9,225,The scene in front of you shows an interior view of a wooden-paneled room with bright windows displaying sky and airships. The room features various furniture and decor; including a table with papers and a lamp; shelves with assorted items; and framed pictures on the walls.
Fireplace-7,1.8,0.8,0.9,270,The scene in front of you shows a cozy; wooden-paneled room decorated with bright; decorative elements. The room features a table with papers and a lamp; wall shelves with various items; colorful framed pictures; and a round patterned rug on the floor. The view extends into another section of the room with more shelves; windows; and hanging lights.
Fireplace-8,1.8,0.8,0.9,315,The scene in front of you shows a corner of a wooden-paneled room with large windows providing an outdoor view; including a distant airship. The foreground features part of a colorful round rug; and the background reveals more of the cozy interior extending to another room with shelves and a hanging light.
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
